./client_with_asio/client_with_asio 2359 120.26.200.117 12333 500 2>/dev/null

10:50.56 202:3	170:1	144:1	123:1	91:1	80:1	74:1	176:3	144:1	123:0	max:202 avrg10:132
10:50.57 103:1	73:1	71:1	74:1	73:1	74:1	76:1	79:2	75:1	77:1	max:103 avrg10:77 9.8KB/s(in)
10:50.57 71:1	69:1	71:1	70:2	135:3	126:1	95:1	68:1	68:1	73:1	max:135 avrg10:84
10:50.58 72:1	74:2	68:2	76:1	72:1	69:1	72:1	73:2	71:1	77:1	max:77 avrg10:72
10:50.58 71:1	72:1	70:2	69:1	70:2	69:2	74:1	68:2	68:2	68:1	max:74 avrg10:69
10:50.59 67:1	67:1	71:2	77:2	71:2	71:1	69:1	78:2	69:1	69:1	max:78 avrg10:70
10:50.59 68:1	68:1	73:1	73:1	79:2	92:2	76:1	72:1	69:1	72:1	max:92 avrg10:74
10:51.0 72:1	81:1	73:1	72:1	76:1	82:2	77:1	72:1	77:2	72:2	max:82 avrg10:75
10:51.0 70:2	70:1	75:2	70:1	75:1	75:2	70:1	70:1	71:1	74:1	max:75 avrg10:72 max100:202 avrg100:80 avrgall:81
10:51.1 70:1	69:2	74:2	75:1	70:1	74:1	69:1	74:1	68:1	75:1	max:75 avrg10:71 ext_packet_snd:237% ext_size_snd:137%
10:51.1 73:1	74:1	72:1	72:1	67:1	71:1	73:2	86:2	151:3	128:1	max:151 avrg10:86
10:51.2 95:1	76:1	71:1	70:1	70:1	74:1	69:2	69:1	69:1	69:1	max:95 avrg10:73
10:51.2 69:2	70:2	68:1	72:1	67:1	67:1	71:1	143:3	126:2	95:1	max:143 avrg10:84
10:51.3 70:1	71:1	75:1	69:1	69:1	73:1	74:2	74:1	78:1	69:1	max:78 avrg10:72
10:51.3 76:1	74:1	92:2	166:2	186:3	148:1	109:0	73:1	68:1	67:1	max:186 avrg10:105
10:51.4 69:1	72:1	75:1	75:1	82:2	74:1	69:1	68:1	68:1	72:1	max:82 avrg10:72
10:51.4 67:1	71:2	88:2	70:1	70:1	70:1	75:1	70:1	69:1	79:2	max:88 avrg10:72
10:51.5 130:2	91:2	108:2	75:1	77:1	76:1	70:1	71:1	74:1	70:1	max:130 avrg10:84
10:51.5 68:1	70:1	74:1	74:1	67:1	67:1	71:1	72:1	70:1	75:1	max:75 avrg10:70 max100:186 avrg100:79 avrgall:81
10:51.6 70:1	145:3	126:1	90:2	75:2	73:2	82:2	74:1	77:1	74:1	max:145 avrg10:88 ext_packet_snd:237% ext_size_snd:137%
10:51.6 74:1	74:1	74:1	71:1	69:1	69:1	76:1	76:1	68:1	72:1	max:76 avrg10:72
10:51.7 66:1	70:1	71:2	73:1	75:2	76:2	71:1	70:1	75:1	69:1	max:76 avrg10:71 9.8KB/s(in)
10:51.7 69:1	69:1	68:1	67:1	67:1	74:2	67:1	70:1	70:1	145:3	max:145 avrg10:76
10:51.8 125:2	95:2	74:1	71:1	69:1	73:1	73:1	68:1	69:2	87:2	max:125 avrg10:80
10:51.8 78:2	68:1	67:1	66:1	72:1	70:1	71:1	79:1	70:1	70:1	max:79 avrg10:71
10:51.9 69:1	75:1	82:2	73:2	69:1	73:1	73:1	73:1	74:1	68:1	max:82 avrg10:72
10:51.9 68:1	93:2	91:2	117:2	74:1	72:1	78:1	90:1	192:3	193:3	max:193 avrg10:106
10:51.10 144:1	110:1	74:1	74:1	139:3	119:1	88:1	78:1	70:1	78:2	max:144 avrg10:97
10:51.10 77:2	72:1	97:2	71:2	76:1	76:1	70:1	70:1	73:1	70:1	max:97 avrg10:75 max100:193 avrg100:81 avrgall:81
